source,url,title,date,institution,doc_type,language
ec,https://digital-strategy.ec.europa.eu/en/policies/european-approach-artificial-intelligence#ecl-inpage-important-milestones,Important milestones,NA,European Commission,Discovered URL,EN
ec,https://commission.europa.eu/publications/white-paper-artificial-intelligence-european-approach-excellence-and-trust_en,European approach to excellence and trust,2020-02-19,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/factpages/ai-continent-action-plan,AI Continent Action Plan,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/commission-sets-course-europes-ai-leadership-ambitious-ai-continent-action-plan,The Action Plan,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/eu-launches-investai-initiative-mobilise-eu200-billion-investment-artificial-intelligence,InvestAI Facility,NA,European Commission,Discovered URL,EN
ec,https://ai-act-service-desk.ec.europa.eu/en,AI Act Service Desk,2025-07-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/apply-ai-alliance,Apply AI Alliance,2025-04-09,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/commission-launches-ai-innovation-package-support-artificial-intelligence-startups-and-smes,AI innovation package to support Artificial Intelligence startups and SMEs,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/communication-boosting-startups-and-innovation-trustworthy-artificial-intelligence,Communication on boosting startups and innovation in trustworthy artificial intelligence,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/genai4eu,GenAI4EU,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-lab-market,AI thrives from the lab to the market,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/ai-people,ensuring that AI works for people,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/build-leadership-ai,building strategic leadership,NA,European Commission,Discovered URL,EN
ec,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en,Horizon Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/activities/digital-programme,Digital Europe,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/cybersecurity-strategy,EU Cybersecurity Strategy,2020-12-16,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/data-union,Data Union Strategy,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/digital-rulebook,Digital Simplification Package,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/supporting-implementation-ai-act-clear-guidelines,upcoming guidelines supporting the implementation of the AI Act,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/code-practice-ai-generated-content,Beginning of the drawing-up process of the Code of Practice on Code of Practice on marking and labelling of AI-generated content,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/commission-launches-ai-act-service-desk-and-single-information-platform-support-ai-act,Launch of AI Act Service Desk,2025-07-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/eu-rules-general-purpose-ai-models-start-apply-tomorrow-bringing-more-transparency-safety-and,AI Act obligations for providers of GPAI models enter into application,2024-01-01,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/guidelines-gpai-providers,Commission publishes guidelines for providers of General-Purpose AI,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,Commission receives General-Purpose AI Code of Practice,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/news/second-wave-ai-factories-set-drive-eu-wide-innovation,Six additional consortia selected to establish AI factories,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-ai-system-definition-facilitate-first-ai-acts-rules-application,Guidelines on AI system definition,NA,European Commission,Discovered URL,EN
ec,https://digital-strategy.ec.europa.eu/en/library/commission-publishes-guidelines-prohibited-artificial-intelligence-ai-practices-defined-ai-act,Guidelines on prohibited AI practices,NA,European Commission,Discovered URL,EN
